kelurahan_id,area_km2,road_length_km,road_density_km_per_km2,pct_primary_secondary,pct_residential_tertiary,pct_footway_pedestrian,avg_road_class_score,network_connectivity,n_road_segments,n_intersections
IDN.4.3.5.4_1,1.7281,39.7823,23.0207,2.9,96.32,0.78,2.1808,52.08,539,90
IDN.4.3.5.5_1,1.9887,39.1207,19.6718,2.9,97.01,0.09,2.1636,34.19,466,68
IDN.4.3.5.6_1,1.4035,30.6378,21.8292,1.39,97.03,1.57,2.028,29.21,342,41
IDN.4.3.5.7_1,2.3012,54.7402,23.7874,13.44,83.97,2.59,2.4099,46.5,577,107
IDN.4.3.5.8_1,1.7929,25.7054,14.3376,10.34,89.29,0.38,2.2613,35.7,325,64
IDN.4.3.5.9_1,2.3115,62.2511,26.9309,6.17,93.83,0.0,2.2619,68.35,765,158
IDN.4.3.5.10_1,1.3323,34.8079,26.1271,7.98,91.86,0.16,2.3567,39.03,393,52
IDN.4.3.6.1_1,1.3213,15.1546,11.4691,5.92,94.08,0.0,2.3331,15.14,143,20
IDN.4.3.6.2_1,3.711,27.6667,7.4553,15.42,83.14,1.44,2.3881,12.66,259,47
IDN.4.3.6.3_1,1.0865,15.7808,14.525,17.71,78.34,3.95,2.5622,21.17,208,23
IDN.4.3.6.4_1,1.7566,21.7237,12.3671,9.62,89.48,0.9,2.3167,17.08,218,30
IDN.4.3.6.5_1,1.6022,15.3869,9.6035,0.21,97.31,2.49,2.0779,12.48,162,20
IDN.4.3.6.6_1,4.9423,19.4093,3.9272,0.2,98.7,1.1,2.3011,4.25,167,21
IDN.4.3.7.1_1,2.3652,58.5673,24.7626,6.01,92.99,1.0,2.1385,49.05,632,116
IDN.4.3.7.2_1,1.9255,49.7556,25.8406,4.58,93.8,1.61,2.1402,54.01,611,104
IDN.4.3.7.3_1,1.4136,35.2864,24.9617,3.81,96.16,0.02,2.1162,53.06,482,75
IDN.4.3.7.4_1,1.0805,23.5359,21.7826,19.78,79.01,1.21,2.6561,27.77,229,30
IDN.4.3.7.5_1,0.9,27.7794,30.865,3.04,95.65,1.31,2.1306,83.33,453,75
IDN.4.3.7.6_1,1.3277,27.7069,20.8691,13.7,84.55,1.76,2.5469,51.22,347,68
IDN.4.3.7.7_1,0.7739,21.1464,27.3261,1.2,98.48,0.32,2.1836,46.52,252,36
IDN.4.3.8.1_1,1.0282,9.4731,9.2128,37.48,62.52,0.0,3.1643,19.45,99,20
IDN.4.3.8.2_1,1.0161,19.7644,19.4511,2.91,93.71,3.38,2.1287,44.29,234,45
IDN.4.3.8.3_1,0.7723,16.8043,21.7593,8.32,91.04,0.65,2.243,34.96,204,27
IDN.4.3.8.4_1,0.7835,16.9289,21.6071,15.94,84.06,0.0,2.5542,29.36,162,23
IDN.4.3.8.5_1,0.7383,11.4412,15.4968,24.19,73.96,1.85,2.7199,29.8,133,22
IDN.4.3.8.6_1,1.2436,10.1413,8.1546,11.42,88.31,0.27,2.505,5.63,69,7
IDN.4.3.8.7_1,0.4769,13.0014,27.2632,0.0,99.68,0.32,2.0168,69.2,152,33
IDN.4.3.8.8_1,1.188,14.6996,12.3735,18.31,81.69,0.0,2.6653,17.68,116,21
IDN.4.3.8.9_1,0.8738,17.6479,20.1961,0.09,98.7,1.21,2.1067,40.05,221,35
IDN.4.3.8.10_1,0.5834,11.5001,19.7122,3.9,95.74,0.36,2.1135,30.85,131,18
IDN.4.3.8.11_1,0.8359,20.4285,24.4384,4.03,95.97,0.0,2.1979,37.08,223,31
IDN.4.3.8.12_1,0.75,16.7059,22.2738,7.84,91.57,0.59,2.3068,29.33,160,22
IDN.4.3.8.13_1,0.704,14.8692,21.1203,11.1,88.9,0.0,2.4002,28.41,146,20
IDN.4.3.8.14_1,0.9718,6.3997,6.5851,21.11,76.77,2.12,2.7743,12.35,79,12
IDN.4.3.8.15_1,0.6732,13.227,19.6488,16.53,81.54,1.94,2.5311,38.62,122,26
IDN.4.3.8.16_1,0.3603,6.2674,17.3965,2.48,96.76,0.76,2.0668,44.41,95,16
IDN.4.3.9.1_1,0.7555,19.9757,26.4389,0.0,99.97,0.03,2.0258,70.15,325,53
IDN.4.3.9.2_1,1.2171,31.7229,26.0633,0.0,100.0,0.0,2.0846,58.33,484,71
IDN.4.3.9.3_1,0.9996,31.3209,31.3338,0.0,99.92,0.08,2.0553,90.04,531,90
IDN.4.3.9.4_1,1.0521,27.5094,26.148,3.5,96.05,0.45,2.1504,47.53,366,50
IDN.4.3.9.5_1,0.9757,23.5718,24.1579,7.68,91.8,0.51,2.304,56.37,349,55
IDN.4.3.9.6_1,0.7171,20.6949,28.8583,0.0,99.33,0.67,2.0348,51.6,262,37
IDN.4.3.9.7_1,1.1122,35.4806,31.9021,0.0,99.57,0.43,2.0249,98.01,581,109
IDN.4.3.9.8_1,1.2852,35.2803,27.4511,8.8,91.17,0.02,2.3084,60.69,504,78
IDN.4.3.10.1_1,1.9635,24.5965,12.5271,11.82,84.64,3.54,2.2486,18.33,258,36
IDN.4.3.10.2_1,2.3912,41.8236,17.4909,15.77,83.56,0.67,2.4333,29.27,421,70
IDN.4.3.10.3_1,1.2133,12.8035,10.5528,0.0,98.01,1.99,2.1693,13.19,113,16
IDN.4.3.10.4_1,1.888,21.4368,11.3544,0.0,96.3,3.7,2.0494,9.0,218,17
IDN.4.3.10.5_1,2.0783,16.1046,7.7489,1.15,98.04,0.81,2.1622,10.1,166,21
IDN.4.3.10.6_1,2.3245,21.7987,9.3779,6.99,91.57,1.44,2.2816,18.93,231,44
IDN.4.3.10.7_1,2.923,29.0273,9.9307,24.93,73.6,1.47,2.7023,11.63,258,34
IDN.4.3.11.1_1,2.2898,65.4599,28.588,3.47,96.4,0.13,2.1236,56.77,699,130
IDN.4.3.11.2_1,2.1707,42.1339,19.4102,7.86,91.26,0.88,2.2458,43.3,426,94
IDN.4.3.11.3_1,2.9959,50.2247,16.7643,14.11,84.5,1.4,2.5142,25.37,480,76
IDN.4.3.11.4_1,2.7442,24.2698,8.844,9.92,88.18,1.9,2.4377,8.38,208,23
IDN.4.3.11.5_1,1.445,32.9458,22.7999,9.84,89.92,0.24,2.2779,34.6,340,50
IDN.4.3.12.1_1,2.4771,46.2494,18.6711,7.09,91.97,0.94,2.258,35.93,551,89
IDN.4.3.12.2_1,2.4163,57.8731,23.9508,18.28,77.72,4.0,2.4637,38.9,708,94
IDN.4.3.12.3_1,1.7366,57.535,33.1307,6.09,93.43,0.48,2.179,88.1,933,153
IDN.4.3.12.4_1,2.7537,30.7339,11.1608,8.13,82.76,9.12,2.124,17.79,395,49
IDN.4.3.12.5_1,2.3823,35.0457,14.7107,4.98,92.97,2.06,2.1686,37.78,472,90
IDN.4.3.12.6_1,1.3532,23.1883,17.1363,15.38,82.66,1.96,2.4122,28.08,293,38
